@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
7547,'2019/06/20 01:58:57:243',29,331,242,0.5,0,0,0.5
7548,'2019/06/20 01:58:57:266',29,327,242,0.5,0,0,0.5
7549,'2019/06/20 01:58:57:277',29,327,242,0.5,0,0,0.5
7550,'2019/06/20 01:58:57:299',29,330,241,0.5,0,0,0.5
7551,'2019/06/20 01:58:57:310',29,330,241,0.5,0,0,0.5
7552,'2019/06/20 01:58:57:332',29,330,241,0.5,0,0,0.5
7553,'2019/06/20 01:58:57:349',29,330,241,0.5,0,0,0.5
7554,'2019/06/20 01:58:57:359',29,330,241,0.5,0,0,0.5
7555,'2019/06/20 01:58:57:376',29,330,241,0.5,0,0,0.5
7556,'2019/06/20 01:58:57:399',29,331,241,0.5,0,0,0.5
7557,'2019/06/20 01:58:57:409',29,331,241,0.5,0,0,0.5
7558,'2019/06/20 01:58:57:432',29,331,241,0.5,0,0,0.5
7559,'2019/06/20 01:58:57:443',29,331,241,0.5,0,0,0.5
7560,'2019/06/20 01:58:57:466',29,331,241,0.5,0,0,0.5
7561,'2019/06/20 01:58:57:476',29,331,241,0.5,0,0,0.5
7562,'2019/06/20 01:58:57:499',29,328,241,0.5,0,0,0.5
7563,'2019/06/20 01:58:57:509',29,328,241,0.5,0,0,0.5
7564,'2019/06/20 01:58:57:532',29,327,241,0.5,0,0,0.5
7565,'2019/06/20 01:58:57:543',29,327,241,0.5,0,0,0.5
7566,'2019/06/20 01:58:57:566',29,331,240,0.5,0,0,0.5
7567,'2019/06/20 01:58:57:576',29,331,240,0.5,0,0,0.5
7568,'2019/06/20 01:58:57:599',29,329,240,0.5,0,0,0.5
7569,'2019/06/20 01:58:57:609',29,329,240,0.5,0,0,0.5
7570,'2019/06/20 01:58:57:632',29,330,240,0.5,0,0,0.5
7571,'2019/06/20 01:58:57:643',29,330,240,0.5,0,0,0.5
7572,'2019/06/20 01:58:57:667',29,331,240,0.5,0,0,0.5
7573,'2019/06/20 01:58:57:676',29,331,240,0.5,0,0,0.5
7574,'2019/06/20 01:58:57:699',29,331,240,0.5,0,0,0.5
7575,'2019/06/20 01:58:57:716',29,332,239,0.5,0,0,0.5
7576,'2019/06/20 01:58:57:726',29,332,239,0.5,0,0,0.5
7577,'2019/06/20 01:58:57:749',29,330,238,0.5,0,0,0.5
7578,'2019/06/20 01:58:57:759',29,330,238,0.5,0,0,0.5
7579,'2019/06/20 01:58:57:776',29,330,238,0.5,0,0,0.5
7580,'2019/06/20 01:59:07:994',30,307,24,1,0,0,0.5
7581,'2019/06/20 01:59:08:020',30,309,24,1,0,0,0.5
7582,'2019/06/20 01:59:08:027',30,309,24,1,0,0,0.5
7583,'2019/06/20 01:59:08:050',30,309,24,1,0,0,0.5
7584,'2019/06/20 01:59:08:061',30,309,24,1,0,0,0.5
7585,'2019/06/20 01:59:08:084',30,310,24,1,0,0,0.5
7586,'2019/06/20 01:59:08:094',30,310,24,1,0,0,0.5
7587,'2019/06/20 01:59:08:118',30,310,24,1,0,0,0.5
7588,'2019/06/20 01:59:08:127',30,310,24,1,0,0,0.5
7589,'2019/06/20 01:59:08:150',30,308,24,1,0,0,0.5
7590,'2019/06/20 01:59:08:161',30,308,24,1,0,0,0.5
7591,'2019/06/20 01:59:08:177',30,308,24,1,0,0,0.5
7592,'2019/06/20 01:59:08:200',30,307,24,1,0,0,0.5
7593,'2019/06/20 01:59:08:211',30,307,24,1,0,0,0.5
7594,'2019/06/20 01:59:08:233',30,311,22,1,0,0,0.5
7595,'2019/06/20 01:59:08:244',30,311,22,1,0,0,0.5
7596,'2019/06/20 01:59:08:260',30,311,22,1,0,0,0.5
7597,'2019/06/20 01:59:08:284',30,306,22,1,0,0,0.5
7598,'2019/06/20 01:59:08:294',30,306,22,1,0,0,0.5
7599,'2019/06/20 01:59:08:317',30,311,20,1,0,0,0.5
7600,'2019/06/20 01:59:08:327',30,311,20,1,0,0,0.5
7601,'2019/06/20 01:59:08:350',30,309,19,1,0,0,0.5
7602,'2019/06/20 01:59:08:361',30,309,19,1,0,0,0.5
7603,'2019/06/20 01:59:08:384',30,312,18,1,0,0,0.5
7604,'2019/06/20 01:59:08:394',30,312,18,1,0,0,0.5
7605,'2019/06/20 01:59:08:417',30,309,18,1,0,0,0.5
7606,'2019/06/20 01:59:08:427',30,309,18,1,0,0,0.5
7607,'2019/06/20 01:59:08:451',30,305,19,1,0,0,0.5
7608,'2019/06/20 01:59:08:461',30,305,19,1,0,0,0.5
7609,'2019/06/20 01:59:08:484',30,308,19,1,0,0,0.5
7610,'2019/06/20 01:59:08:494',30,308,19,1,0,0,0.5
7611,'2019/06/20 01:59:08:517',30,310,18,1,0,0,0.5
7612,'2019/06/20 01:59:08:527',30,310,18,1,0,0,0.5
7613,'2019/06/20 01:59:08:550',30,309,16,1,0,0,0.5
7614,'2019/06/20 01:59:08:560',30,309,16,1,0,0,0.5
7615,'2019/06/20 01:59:08:577',30,309,16,1,0,0,0.5
7616,'2019/06/20 01:59:08:600',30,309,12,1,0,0,0.5
7617,'2019/06/20 01:59:08:611',30,309,12,1,0,0,0.5
7618,'2019/06/20 01:59:08:634',30,309,11,1,0,0,0.5
7619,'2019/06/20 01:59:08:644',30,309,11,1,0,0,0.5
7620,'2019/06/20 01:59:08:660',30,309,11,1,0,0,0.5
7621,'2019/06/20 01:59:08:683',30,309,11,1,0,0,0.5
7622,'2019/06/20 01:59:08:694',30,309,11,1,0,0,0.5
7623,'2019/06/20 01:59:08:716',30,307,12,1,0,0,0.5
7624,'2019/06/20 01:59:08:727',30,307,12,1,0,0,0.5
7625,'2019/06/20 01:59:08:750',30,310,12,1,0,0,0.5
7626,'2019/06/20 01:59:08:761',30,310,12,1,0,0,0.5
7627,'2019/06/20 01:59:08:785',30,302,13,1,0,0,0.5
7628,'2019/06/20 01:59:08:794',30,302,13,1,0,0,0.5
7629,'2019/06/20 01:59:08:817',30,306,12,1,0,0,0.5
7630,'2019/06/20 01:59:08:827',30,306,12,1,0,0,0.5
7631,'2019/06/20 01:59:08:850',30,310,10,1,0,0,0.5
7632,'2019/06/20 01:59:08:861',30,310,10,1,0,0,0.5
7633,'2019/06/20 01:59:08:884',30,307,9,1,0,0,0.5
7634,'2019/06/20 01:59:08:894',30,307,9,1,0,0,0.5
7635,'2019/06/20 01:59:08:917',30,311,8,1,0,0,0.5
7636,'2019/06/20 01:59:08:928',30,311,8,1,0,0,0.5
7637,'2019/06/20 01:59:08:950',30,307,9,1,0,0,0.5
7638,'2019/06/20 01:59:08:960',30,307,9,1,0,0,0.5
7639,'2019/06/20 01:59:08:977',30,307,9,1,0,0,0.5
7640,'2019/06/20 01:59:09:000',30,311,9,1,0,0,0.5
7641,'2019/06/20 01:59:09:010',30,311,9,1,0,0,0.5
7642,'2019/06/20 01:59:09:033',30,309,9,1,0,0,0.5
7643,'2019/06/20 01:59:09:044',30,309,9,1,0,0,0.5
7644,'2019/06/20 01:59:09:061',30,309,9,1,0,0,0.5
7645,'2019/06/20 01:59:09:084',30,311,8,1,0,0,0.5
7646,'2019/06/20 01:59:09:094',30,311,8,1,0,0,0.5
7647,'2019/06/20 01:59:09:116',30,311,8,1,0,0,0.5
7648,'2019/06/20 01:59:09:127',30,311,8,1,0,0,0.5
7649,'2019/06/20 01:59:09:150',30,313,8,1,0,0,0.5
7650,'2019/06/20 01:59:09:160',30,313,8,1,0,0,0.5
7651,'2019/06/20 01:59:09:183',30,311,8,1,0,0,0.5
7652,'2019/06/20 01:59:09:194',30,311,8,1,0,0,0.5
7653,'2019/06/20 01:59:09:217',30,313,8,1,0,0,0.5
7654,'2019/06/20 01:59:09:227',30,313,8,1,0,0,0.5
7655,'2019/06/20 01:59:09:250',30,309,9,1,0,0,0.5
7656,'2019/06/20 01:59:09:261',30,309,9,1,0,0,0.5
7657,'2019/06/20 01:59:09:283',30,315,8,1,0,0,0.5
7658,'2019/06/20 01:59:09:294',30,315,8,1,0,0,0.5
7659,'2019/06/20 01:59:09:317',30,311,7,1,0,0,0.5
7660,'2019/06/20 01:59:09:328',30,311,7,1,0,0,0.5
7661,'2019/06/20 01:59:09:350',30,313,5,1,0,0,0.5
7662,'2019/06/20 01:59:09:360',30,313,5,1,0,0,0.5
7663,'2019/06/20 01:59:09:377',30,313,5,1,0,0,0.5
7664,'2019/06/20 01:59:09:400',30,311,4,1,0,0,0.5
7665,'2019/06/20 01:59:09:411',30,311,4,1,0,0,0.5
7666,'2019/06/20 01:59:09:427',30,311,4,1,0,0,0.5
7667,'2019/06/20 01:59:09:450',30,309,5,1,0,0,0.5
7668,'2019/06/20 01:59:09:461',30,309,5,1,0,0,0.5
7669,'2019/06/20 01:59:09:484',30,313,6,1,0,0,0.5
7670,'2019/06/20 01:59:09:494',30,313,6,1,0,0,0.5
7671,'2019/06/20 01:59:09:517',30,311,8,1,0,0,0.5
7672,'2019/06/20 01:59:09:527',30,311,8,1,0,0,0.5
7673,'2019/06/20 01:59:09:550',30,313,9,1,0,0,0.5
7674,'2019/06/20 01:59:09:560',30,313,9,1,0,0,0.5
7675,'2019/06/20 01:59:09:583',30,316,9,1,0,0,0.5
7676,'2019/06/20 01:59:09:594',30,316,9,1,0,0,0.5
7677,'2019/06/20 01:59:09:617',30,310,10,1,0,0,0.5
7678,'2019/06/20 01:59:09:627',30,310,10,1,0,0,0.5
7679,'2019/06/20 01:59:09:650',30,311,10,1,0,0,0.5
7680,'2019/06/20 01:59:09:660',30,311,10,1,0,0,0.5
7681,'2019/06/20 01:59:09:684',30,315,10,1,0,0,0.5
7682,'2019/06/20 01:59:09:694',30,315,10,1,0,0,0.5
7683,'2019/06/20 01:59:09:717',30,312,11,1,0,0,0.5
7684,'2019/06/20 01:59:09:728',30,312,11,1,0,0,0.5
7685,'2019/06/20 01:59:09:750',30,314,11,1,0,0,0.5
7686,'2019/06/20 01:59:09:760',30,314,11,1,0,0,0.5
7687,'2019/06/20 01:59:09:777',30,314,11,1,0,0,0.5
7688,'2019/06/20 01:59:09:800',30,313,13,1,0,0,0.5
7689,'2019/06/20 01:59:09:811',30,313,13,1,0,0,0.5
7690,'2019/06/20 01:59:09:827',30,313,13,1,0,0,0.5
7691,'2019/06/20 01:59:09:850',30,315,13,1,0,0,0.5
7692,'2019/06/20 01:59:09:861',30,315,13,1,0,0,0.5
7693,'2019/06/20 01:59:09:884',30,313,14,1,0,0,0.5
7694,'2019/06/20 01:59:09:894',30,313,14,1,0,0,0.5
7695,'2019/06/20 01:59:09:917',30,314,15,1,0,0,0.5
7696,'2019/06/20 01:59:09:927',30,314,15,1,0,0,0.5
7697,'2019/06/20 01:59:09:950',30,309,16,1,0,0,0.5
7698,'2019/06/20 01:59:09:960',30,309,16,1,0,0,0.5
7699,'2019/06/20 01:59:09:985',30,317,16,1,0,0,0.5
7700,'2019/06/20 01:59:09:995',30,317,16,1,0,0,0.5
7701,'2019/06/20 01:59:10:017',30,316,18,1,0,0,0.5
7702,'2019/06/20 01:59:10:027',30,316,18,1,0,0,0.5
7703,'2019/06/20 01:59:10:050',30,315,19,1,0,0,0.5
7704,'2019/06/20 01:59:10:061',30,315,19,1,0,0,0.5
7705,'2019/06/20 01:59:10:083',30,315,19,1,0,0,0.5
7706,'2019/06/20 01:59:10:094',30,315,19,1,0,0,0.5
7707,'2019/06/20 01:59:10:118',30,315,18,1,0,0,0.5
7708,'2019/06/20 01:59:10:128',30,315,18,1,0,0,0.5
7709,'2019/06/20 01:59:10:150',30,317,18,1,0,0,0.5
7710,'2019/06/20 01:59:10:161',30,317,18,1,0,0,0.5
7711,'2019/06/20 01:59:10:177',30,317,18,1,0,0,0.5
7712,'2019/06/20 01:59:10:200',30,315,21,1,0,0,0.5
7713,'2019/06/20 01:59:10:211',30,315,21,1,0,0,0.5
7714,'2019/06/20 01:59:10:227',30,315,21,1,0,0,0.5
7715,'2019/06/20 01:59:10:250',30,315,22,1,0,0,0.5
7716,'2019/06/20 01:59:10:260',30,315,22,1,0,0,0.5
7717,'2019/06/20 01:59:10:283',30,316,22,1,0,0,0.5
7718,'2019/06/20 01:59:10:294',30,316,22,1,0,0,0.5
7719,'2019/06/20 01:59:10:317',30,316,22,1,0,0,0.5
7720,'2019/06/20 01:59:10:327',30,316,22,1,0,0,0.5
7721,'2019/06/20 01:59:10:350',30,311,22,1,0,0,0.5
7722,'2019/06/20 01:59:10:360',30,311,22,1,0,0,0.5
7723,'2019/06/20 01:59:10:384',30,314,21,1,0,0,0.5
7724,'2019/06/20 01:59:10:394',30,314,21,1,0,0,0.5
7725,'2019/06/20 01:59:10:417',30,311,21,1,0,0,0.5
7726,'2019/06/20 01:59:10:428',30,311,21,1,0,0,0.5
7727,'2019/06/20 01:59:10:450',30,317,20,1,0,0,0.5
7728,'2019/06/20 01:59:10:461',30,317,20,1,0,0,0.5
7729,'2019/06/20 01:59:10:484',30,309,21,1,0,0,0.5
7730,'2019/06/20 01:59:10:494',30,309,21,1,0,0,0.5
7731,'2019/06/20 01:59:10:517',30,314,20,1,0,0,0.5
7732,'2019/06/20 01:59:10:528',30,314,20,1,0,0,0.5
7733,'2019/06/20 01:59:10:550',30,315,19,1,0,0,0.5
7734,'2019/06/20 01:59:10:560',30,315,19,1,0,0,0.5
7735,'2019/06/20 01:59:10:577',30,315,19,1,0,0,0.5
7736,'2019/06/20 01:59:10:594',30,315,19,1,0,0,0.5
7737,'2019/06/20 01:59:10:617',30,318,17,1,0,0,0.5
7738,'2019/06/20 01:59:10:627',30,318,17,1,0,0,0.5
7739,'2019/06/20 01:59:10:651',30,316,17,1,0,0,0.5
7740,'2019/06/20 01:59:10:661',30,316,17,1,0,0,0.5
7741,'2019/06/20 01:59:10:683',30,313,17,1,0,0,0.5
7742,'2019/06/20 01:59:10:694',30,313,17,1,0,0,0.5
7743,'2019/06/20 01:59:10:716',30,313,17,1,0,0,0.5
7744,'2019/06/20 01:59:10:727',30,313,17,1,0,0,0.5
7745,'2019/06/20 01:59:10:750',30,311,18,1,0,0,0.5
7746,'2019/06/20 01:59:10:761',30,311,18,1,0,0,0.5
7747,'2019/06/20 01:59:10:783',30,309,18,1,0,0,0.5
7748,'2019/06/20 01:59:10:794',30,309,18,1,0,0,0.5
7749,'2019/06/20 01:59:10:817',30,311,17,1,0,0,0.5
7750,'2019/06/20 01:59:10:827',30,311,17,1,0,0,0.5
7751,'2019/06/20 01:59:10:850',30,315,14,1,0,0,0.5
7752,'2019/06/20 01:59:10:861',30,315,14,1,0,0,0.5
